Date,Close,Date,Volume
2022-06-01,4099.0,2022-06-01,1912031
2022-06-02,4175.25,2022-06-02,1513748
2022-06-03,4107.0,2022-06-03,1532766
2022-06-06,4120.5,2022-06-06,1457918
2022-06-07,4158.75,2022-06-07,1677883
2022-06-08,4114.0,2022-06-08,1706628
2022-06-09,4016.25,2022-06-09,2024783
2022-06-10,3899.0,2022-06-10,2117225
2022-06-13,3750.5,2022-06-13,2155159
2022-06-14,3736.75,2022-06-14,1341257
2022-06-15,3789.25,2022-06-15,777545
2022-06-16,3668.25,2022-06-16,544027
2022-06-17,3663.760009765625,2022-06-17,2207570
2022-06-21,3767.75,2022-06-21,1566039
2022-06-22,3762.75,2022-06-22,1660579
2022-06-23,3799.75,2022-06-23,1607695
2022-06-24,3916.25,2022-06-24,1563128
2022-06-27,3903.75,2022-06-27,1497368
2022-06-28,3825.5,2022-06-28,1791690
2022-06-29,3821.25,2022-06-29,1717770
2022-06-30,3789.5,2022-06-30,2394361
2022-07-01,3827.25,2022-07-01,1752977
2022-07-05,3834.0,2022-07-05,2031501
2022-07-06,3848.25,2022-07-06,1684324
2022-07-07,3905.0,2022-07-07,1314443
2022-07-08,3901.25,2022-07-08,1485497
2022-07-11,3856.75,2022-07-11,1486103
2022-07-12,3823.75,2022-07-12,1640864
2022-07-13,3804.5,2022-07-13,2157968
2022-07-14,3793.25,2022-07-14,1916260
2022-07-15,3865.0,2022-07-15,1523753
2022-07-18,3833.75,2022-07-18,1439590
2022-07-19,3937.5,2022-07-19,1611604
2022-07-20,3962.5,2022-07-20,1734355
2022-07-21,4001.25,2022-07-21,1821097
2022-07-22,3965.0,2022-07-22,1736592
2022-07-25,3970.0,2022-07-25,1493471
2022-07-26,3923.25,2022-07-26,1589161
2022-07-27,4024.5,2022-07-27,1740431
2022-07-28,4073.5,2022-07-28,2014467
2022-07-29,4133.5,2022-07-29,1919598
2022-08-01,4120.5,2022-08-01,1776936
2022-08-02,4093.75,2022-08-02,1892241
2022-08-03,4156.25,2022-08-03,1696602
2022-08-04,4152.25,2022-08-04,1245063
2022-08-05,4146.75,2022-08-05,1722401
2022-08-08,4141.75,2022-08-08,1536449
2022-08-09,4124.5,2022-08-09,1280085
2022-08-10,4210.0,2022-08-10,1627940
2022-08-11,4209.75,2022-08-11,1598130
2022-08-12,4281.0,2022-08-12,1300170
2022-08-15,4298.25,2022-08-15,1317241
2022-08-16,4307.75,2022-08-16,1363248
2022-08-17,4276.75,2022-08-17,1638797
2022-08-18,4286.5,2022-08-18,1366220
2022-08-19,4231.5,2022-08-19,1701251
2022-08-22,4141.25,2022-08-22,1724203
2022-08-23,4130.5,2022-08-23,1575674
2022-08-24,4142.75,2022-08-24,1348612
2022-08-25,4201.0,2022-08-25,1635476
2022-08-26,4059.5,2022-08-26,2241117
2022-08-29,4031.25,2022-08-29,1963446
2022-08-30,3987.5,2022-08-30,2555455
2022-08-31,3956.5,2022-08-31,2366488
2022-09-01,3968.75,2022-09-01,2212034
2022-09-02,3924.5,2022-09-02,2510355
2022-09-06,3910.5,2022-09-06,2360326
2022-09-07,3980.0,2022-09-07,1956209
2022-09-08,4005.5,2022-09-08,2356008
2022-09-09,4067.25,2022-09-09,1677890
2022-09-12,4110.75,2022-09-12,1718859
2022-09-13,3931.25,2022-09-13,1418271
2022-09-14,3947.5,2022-09-14,662596
2022-09-15,3902.0,2022-09-15,438921
2022-09-16,3871.239990234375,2022-09-16,2688630
2022-09-19,3917.25,2022-09-19,2100098
2022-09-20,3872.75,2022-09-20,2357296
2022-09-21,3806.25,2022-09-21,2440206
2022-09-22,3772.0,2022-09-22,2578314
2022-09-23,3709.0,2022-09-23,2913560
2022-09-26,3670.0,2022-09-26,2899415
2022-09-27,3661.0,2022-09-27,2963065
2022-09-28,3732.0,2022-09-28,2780935
2022-09-29,3654.25,2022-09-29,2860631
2022-09-30,3601.5,2022-09-30,2976179
2022-10-03,3690.25,2022-10-03,2315515
2022-10-04,3803.25,2022-10-04,2381497
2022-10-05,3794.0,2022-10-05,2089198
2022-10-06,3756.75,2022-10-06,2157569
2022-10-07,3653.25,2022-10-07,2238683
2022-10-10,3625.25,2022-10-10,2024447
2022-10-11,3599.25,2022-10-11,2398140
2022-10-12,3588.5,2022-10-12,1948173
2022-10-13,3681.75,2022-10-13,3288646
2022-10-14,3597.5,2022-10-14,2730405
2022-10-17,3689.25,2022-10-17,1951998
2022-10-18,3732.75,2022-10-18,2746886
2022-10-19,3707.25,2022-10-19,2348844
2022-10-20,3675.25,2022-10-20,2403705
2022-10-21,3764.0,2022-10-21,2681019
2022-10-24,3809.25,2022-10-24,2109780
2022-10-25,3870.25,2022-10-25,1836723
2022-10-26,3841.0,2022-10-26,2118534
2022-10-27,3819.5,2022-10-27,2211786
2022-10-28,3911.25,2022-10-28,2084386
2022-10-31,3883.0,2022-10-31,2002625
2022-11-01,3866.0,2022-11-01,1895614
2022-11-02,3768.75,2022-11-02,2210708
2022-11-03,3727.75,2022-11-03,1887557
2022-11-04,3779.5,2022-11-04,2494788
2022-11-07,3815.25,2022-11-07,1483146
2022-11-08,3835.25,2022-11-08,1878046
2022-11-09,3755.5,2022-11-09,1889153
2022-11-10,3961.0,2022-11-10,2408104
2022-11-11,4000.25,2022-11-11,1927068
2022-11-14,3966.0,2022-11-14,1592615
2022-11-15,3999.5,2022-11-15,2230543
2022-11-16,3968.5,2022-11-16,1502501
2022-11-17,3955.25,2022-11-17,1560808
2022-11-18,3974.0,2022-11-18,1534155
2022-11-21,3958.0,2022-11-21,1178421
2022-11-22,4010.25,2022-11-22,1161999
2022-11-23,4033.0,2022-11-23,1281153
2022-11-25,4032.5,2022-11-25,608795
2022-11-28,3970.25,2022-11-28,1481503
2022-11-29,3962.0,2022-11-29,1500171
2022-11-30,4081.25,2022-11-30,2479997
2022-12-01,4081.75,2022-12-01,1834073
2022-12-02,4075.5,2022-12-02,1849784
2022-12-05,4003.25,2022-12-05,1497688
2022-12-06,3945.0,2022-12-06,1869101
2022-12-07,3936.75,2022-12-07,1756473
2022-12-08,3965.75,2022-12-08,1708915
2022-12-09,3936.25,2022-12-09,1739761
2022-12-12,3991.75,2022-12-12,1619977
2022-12-13,4022.25,2022-12-13,1419560
2022-12-14,3998.0,2022-12-14,712439
2022-12-15,3897.0,2022-12-15,560669
2022-12-16,3871.469970703125,2022-12-16,1965701
2022-12-19,3845.5,2022-12-19,1405774
2022-12-20,3849.25,2022-12-20,1541868
2022-12-21,3905.75,2022-12-21,1522069
2022-12-22,3849.25,2022-12-22,1842326
2022-12-23,3869.75,2022-12-23,1374913
2022-12-27,3855.0,2022-12-27,1006414
2022-12-28,3807.5,2022-12-28,1282810
2022-12-29,3871.75,2022-12-29,1146984
2022-12-30,3861.0,2022-12-30,1401810
2023-01-03,3846.0,2023-01-03,1782473
2023-01-04,3874.5,2023-01-04,1912155
2023-01-05,3829.0,2023-01-05,1679973
2023-01-06,3915.5,2023-01-06,2026154
2023-01-09,3913.75,2023-01-09,1697887
2023-01-10,3940.75,2023-01-10,1520955
2023-01-11,3990.0,2023-01-11,1398769
2023-01-12,4003.5,2023-01-12,2102587
2023-01-13,4018.25,2023-01-13,1456784
2023-01-17,4009.5,2023-01-17,1423931
2023-01-18,3945.75,2023-01-18,1902551
2023-01-19,3915.5,2023-01-19,1896890
2023-01-20,3988.5,2023-01-20,1620355
2023-01-23,4036.5,2023-01-23,1594736
2023-01-24,4032.75,2023-01-24,1472856
2023-01-25,4032.0,2023-01-25,1760515
2023-01-26,4075.5,2023-01-26,1613804
2023-01-27,4084.25,2023-01-27,1587936
2023-01-30,4032.5,2023-01-30,1786112
2023-01-31,4090.0,2023-01-31,1790751
2023-02-01,4132.25,2023-02-01,2000400
2023-02-02,4191.5,2023-02-02,2290729
2023-02-03,4147.75,2023-02-03,2354996
2023-02-06,4123.5,2023-02-06,1560324
2023-02-07,4175.75,2023-02-07,2180936
2023-02-08,4130.5,2023-02-08,1804101
2023-02-09,4091.75,2023-02-09,1828571
2023-02-10,4099.75,2023-02-10,1744956
2023-02-13,4147.25,2023-02-13,1376325
